inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 동대문구 전농로38다길 21",127.0542335921788,37.58637097836822,960644,1954202,,"02492","1123056000","1123010400","112304115459","1123010400101030570026922"
"서울특별시 동대문구 한천로20길 7",,,,,,,,,,
"서울특별시 동대문구  답십리로 69길 100",127.07440392126564,37.57679199392185,962420,1953131,,"02521","1123066000","1123010600","112304115104","1123010600103290005000001"
"서울특별시 동대문구  한천로 402",127.06811741765578,37.596589777642045,961875,1955330,,"02423","1123074000","1123011000","112303005038","1123011000100920001005844"
"서울특별시 동대문구  한천로 266",127.06802770334238,37.58467365278112,961861,1954008,,"02511","1123073000","1123010900","112303005038","1123010900100430267000001"
"서울특별시 동대문구  회기로18길 2",127.05184942544277,37.59108500334495,960436,1954726,,"02459","1123071000","1123010800","112304115692","1123010800101030046011518"
"\"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)\"",126.92930638993742,37.547345651013934,949588,1949932,,"04078","1144065500","1144011400","114404139076","1144011400104020059028788"
"서울특별시 마포구 마포대로 195-1",126.95404310143313,37.55180711721561,951776,1950414,,"04118","1144055500","1144010100","114402113001","1144010100107850000000002"
"서울특별시 마포구  월드컵북로 30길 24",126.9090775971365,37.56873422137217,947816,1952316,,"03946","1144073000","1144012500","114404139530","1144012500106020000019200"
"서울특별시 마포구  양화로11길 63",126.91346750353951,37.551873918116,948192,1950443,,"04036","1144066000","1144012000","114404139418","1144012000104910000000001"
"서울특별시 마포구 토정로31길 35",126.94308505955001,37.54256218623856,950802,1949394,,"04161","1144059000","1144010500","114404139597","1144010500105030000000001"
"서울특별시 마포구  매봉산로 76",126.8938490715824,37.578283348774804,946478,1953384,,"03927","1144074000","1144012700","114403113007","1144012700100080008129421"
"서울특별시 마포구  망원로2길 63",126.90273796775985,37.554343899166284,947246,1950723,,"04015","1144069000","1144012300","114404139200","1144012300103980001013952"
"서울특별시 마포구  연남로 4",126.92376123199023,37.56033416476177,949107,1951376,,"03989","1144071000","1144012400","114403113016","1144012400103730020015952"
"서울특별시 영등포구  영등포로46길 14",126.90750886046801,37.51800753436808,947642,1946689,,"07302","1156053500","1156010400","115604154725","1156010400100180001035447"
"서울특별시 영등포구  여의공원로 120 여의도지구대",126.92669123090731,37.52962147366343,949345,1947967,,"07243","1156054000","1156011000","115603118018","1156011000100020000000002"
"서울특별시 영등포구  경인로 759",126.89765417582053,37.513586133768435,946768,1946204,,"07299","1156060500","1156012100","115603000028","1156012100100540002024124"
"서울특별시 영등포구 신길동 4533-16",,,,,,,,,,
"서울특별시 영등포구 노량진로 11",,,,,,,,,,
"서울특별시 영등포구  선유로 95",126.88968164930323,37.522720955760555,946070,1947222,,"07272","1156061000","1156012500","115603005074","1156012500101640022020814"
"서울특별시 영등포구  당산로 221",126.90126215538946,37.5336144534789,947101,1948424,,"07213","1156056000","1156011500","115603118004","1156011500100150000027589"
"서울특별시 영등포구  대림로23길 16-1",126.89869846681893,37.49342818448344,946846,1943967,,"07417","1156071000","1156013300","115604154151","1156013300107060008002450"
"서울특별시 영등포구 대림로 197",126.89803710336005,37.49831015659587,946791,1944509,,"07412","1156072000","1156013300","115603118027","1156013300107400004002047"
